Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2025-01-02,577.8541259765625,584.2687872048679,573.7621642800276,582.5489929538754,50204000
2025-01-03,585.0792846679688,585.7217039617416,579.623335665357,580.7106042287589,37888500
2025-01-06,588.4497680664062,592.7394211491448,586.7101863614566,589.3492396720658,47679400
2025-01-07,581.7978515625,590.8119920606497,579.9693484070148,590.4858054370367,60393100
2025-01-08,582.6478271484375,583.7252021495292,578.4076425523384,581.867018332763,47304700
2025-01-10,573.7523193359375,579.148967552338,571.8348342474784,579.0797727939155,73105000
2025-01-13,574.6419067382812,574.9977137931114,568.6719735158341,569.0871420731995,47910100
2025-01-14,575.4325561523438,578.209938228887,571.637100270467,577.5773521941201,48420600
2025-01-15,585.8997192382812,587.0462287462195,582.3612548768964,583.4781439602939,56900200
2025-01-16,584.7728881835938,587.4513947839769,584.0711073889483,587.2734912712623,43319700
2025-01-17,590.64404296875,592.4033515473359,588.6968769367569,590.0312439926065,58070600
2025-01-21,596.0504760742188,596.0603696579795,591.7213092581105,593.6980955549004,42532900
2025-01-22,599.4011840820312,600.7651715456991,598.3337025176967,598.8872003053638,48196000
2025-01-23,602.6727294921875,602.6727294921875,598.4918457286775,598.7685644436611,41152100
2025-01-24,600.913330078125,603.6907726306447,599.7569270310084,602.7319999441287,34604700
2025-01-27,592.4132080078125,592.7295010606359,587.7381276298589,587.9061375768574,70361100
2025-01-28,597.50341796875,598.3435279756633,590.3177808049226,593.6486607361097,44433300
2025-01-29,594.8248901367188,597.1179695261326,592.2649252873389,596.7126945442042,37177400
2025-01-30,598.0173950195312,599.5592859855939,593.747529191958,596.9499738076877,39281300
2025-01-31,594.8347778320312,602.880312619884,594.0736957955036,600.4488437325783,66566900
2025-02-03,590.831787109375,593.3224968021361,583.6362560871698,585.7909458950113,65857200
2025-02-04,594.7952880859375,595.3092115270962,590.3475186916722,590.8911228856247,33457800
2025-02-05,597.2069091796875,597.3551922900909,591.6324173909024,593.6685049658528,30653100
2025-02-06,599.2825317382812,599.4110276717307,595.6353586638426,598.9563451128535,35771500
2025-02-07,593.7969970703125,601.0715564826635,593.0853226024016,599.8459585772572,50788500
2025-02-10,597.82958984375,598.4720695404235,595.7440947156747,597.0191605249602,26048700
2025-02-11,598.2842407226562,598.8278448766438,595.4376636934635,595.5562660424524,30056700
2025-02-12,596.35693359375,597.5331239679138,591.5632504880516,592.2452442399068,45076100
2025-02-13,602.6529541015625,602.860538386905,596.198778008583,597.4638899085884,40921300
2025-02-14,602.6232299804688,603.8982352451526,602.0005375583223,602.8604346504824,26910400
2025-02-18,604.3925170898438,604.3925170898438,601.3186288745633,603.7896117473091,26749000
2025-02-19,605.8157958984375,606.1123017730542,602.4849158656623,602.9988995994843,31011100
2025-02-20,603.2954711914062,604.5803703391965,599.974484380483,604.4419808070575,36554000
2025-02-21,592.9766235351562,603.2163626901448,592.5120473575615,603.0779731626286,76519800
2025-02-24,590.2781982421875,596.0306526731238,589.5665239207386,595.0323661026961,50737200
2025-02-25,587.3427734375,590.9504327968516,582.7171004383193,590.2190314712642,58266500
2025-02-26,587.6392211914062,592.620761102799,584.9903348809851,589.013102100412,43321600
2025-02-27,578.2593994140625,591.0788899188873,577.8640783507352,589.9224264999975,74196700
2025-02-28,587.2833862304688,587.8170967698634,575.6796612579947,578.7634428057255,88744100
2025-03-03,576.9942626953125,590.4067643806418,573.1691862018861,589.2601945949107,74249200
2025-03-04,570.1644897460938,578.5955127414016,565.608011549554,572.9814465763258,109648200
2025-03-05,576.29248046875,578.0913631561872,566.4283366011412,569.9964212260836,71230500
2025-03-06,566.0626220703125,573.4359958315716,563.5026574515875,568.800429877349,80094900
2025-03-07,569.2353515625,570.6883208259039,559.0648080255879,564.2736590980126,81158800
2025-03-10,554.073486328125,562.9294509409499,549.1414138289008,561.0021324297065,99326600
2025-03-11,549.4674682617188,557.473488465779,545.612771416854,552.907117228081,88102100
2025-03-12,552.3832397460938,556.574016783005,547.2633707942651,555.6449248680879,69588200
2025-03-13,545.0197143554688,552.6204598197313,543.2999199883595,552.0076609148241,74079400
2025-03-14,556.2775268554688,557.2857071377122,545.0889095501292,549.655280917059,62660300
2025-03-17,560.5671997070312,563.097483760462,555.8228643209595,556.2577597204585,49008700
2025-03-18,554.50830078125,558.4618730708418,552.5710286417288,558.2443952250169,66041400
2025-03-19,560.54736328125,564.3230320254004,555.1112014285828,556.2972851708735,66556000
2025-03-20,558.9264526367188,563.9475069089323,556.0699818531248,556.7915499004863,62958200
2025-03-21,559.1107788085938,560.0129560782987,553.2121973894178,554.4514053360011,83763000
2025-03-24,569.1236572265625,570.1844265679264,565.2771506364932,565.8719462913679,58766800
2025-03-25,570.4917602539062,571.4335099767462,568.7370222712309,570.3331077369899,38355700
2025-03-26,563.6810913085938,571.3542581528293,562.293154038674,570.2240858480267,51848300
2025-03-27,562.18408203125,565.971108987233,560.062543386952,562.2831944691987,42164200
2025-03-28,550.8626708984375,561.3811152230641,550.2777985606353,560.6475137101825,71662700
2025-03-31,554.5604248046875,555.8690356187795,542.1484990140983,545.0829651282622,95328200
2025-04-01,556.1268310546875,558.0798545049701,548.8997911229003,552.6372621541935,54609600
2025-04-02,559.6461791992188,562.5211054527999,550.019989677278,550.2579079318416,76014500
2025-04-03,532.0663452148438,543.2390031081819,532.0663452148438,540.4037097995117,125986000
2025-04-04,500.9176330566406,521.3298644038904,500.69953122991006,519.1488461365848,217965100
2025-04-07,500.0254211425781,518.6531751879934,477.64034947944,484.966562158496,256611400
2025-04-08,492.193603515625,520.4475157965463,484.93679417196097,517.3544574544211,165816600
2025-04-09,543.8834838867188,543.8834838867188,488.7932402716448,489.17988772825765,241867300
2025-04-10,520.051025390625,528.8939971161361,504.92276379554966,527.5754628052078,162331200
2025-04-11,529.3302001953125,531.7986929533369,515.5799524923516,518.4945722506925,97866300
2025-04-14,534.4654541015625,539.580938661594,529.2508571038156,539.3528832417228,68034000
2025-04-15,532.9684448242188,538.5399188279399,532.175363851926,535.0106570692674,56892900
2025-04-16,521.1216430664062,533.2460954669957,515.7980102587055,527.0896882471153,83484800
2025-04-17,521.8651733398438,526.5840872057769,519.3867572764926,523.0845951885916,79868100
2025-04-21,509.4433898925781,517.1958826970866,504.070170487947,516.6605060954281,69368100
2025-04-22,522.6979370117188,524.7302260402327,514.7075262081219,515.6493363944684,75948100
2025-04-23,530.79736328125,540.7209502963145,529.2706808590098,535.7641184612734,90590700
2025-04-24,541.9700927734375,542.7036942188355,530.8271442598516,532.086138426331,64150400
2025-04-25,545.8860473632812,546.2924809922215,538.9960382976576,541.9305048307399,61119600
2025-04-28,546.0941772460938,548.770878725811,540.3145544882295,546.6295538469604,47613800
2025-04-29,549.5342407226562,550.6544896169489,543.8140371215516,544.1709145104755,47775100
2025-04-30,549.7523193359375,551.7152660165827,536.8447695388113,542.8425243498715,93101500
2025-05-01,553.6483764648438,559.2000647311057,553.0436574695955,555.5319968692943,63186100
2025-05-02,561.8668823242188,563.4728911995644,557.5246922514075,559.8543793028188,60717300
2025-05-05,558.6448974609375,561.7578025218996,556.850526672483,557.7130106117388,38659200
2025-05-06,553.9755249023438,558.486229861133,552.151444635027,553.1130409863903,48264700
2025-05-07,556.3052978515625,558.9522292842823,551.239369394788,555.3139314189718,55588000
2025-05-08,560.1814575195312,565.3861307660613,556.8504811637198,560.3598961984284,65130800
2025-05-09,559.4677734375,562.6004648206437,557.9013974918248,561.5892516710271,37603400
2025-05-12,577.9567260742188,577.9666494201874,572.0580835025086,576.4498296839446,78993600
2025-05-13,581.7734985351562,583.9941496422729,577.8080328415324,578.3730584556538,67947200
2025-05-14,582.5170288085938,583.8949821637985,580.4846792150129,582.7351003798474,66283500
2025-05-15,585.3622436523438,585.8677897044162,580.0484736048338,580.5045239452851,71268100
2025-05-16,589.0699462890625,589.3673441171694,584.1924403834937,586.1454032115668,76052100
2025-05-19,589.7142944335938,590.3983396880136,583.0225710566098,583.0225710566098,68168500
2025-05-20,587.7315673828125,588.9212192076606,584.5096264657933,587.9695461543464,60614500
2025-05-21,577.8277587890625,587.4638708843231,576.7967595991499,583.359599797301,95197700
2025-05-22,578.0558471679688,581.5553390131786,576.3902984080268,577.629506378804,70860400
2025-05-23,574.1102294921875,576.7869310981343,570.6305234552773,571.0072475595028,76029000
2025-05-27,586.0462646484375,586.2048566469568,573.4360527249615,581.0101064535629,72588500
2025-05-28,582.6558227539062,587.6523487169525,581.9222212137981,586.4527734503207,68445500
2025-05-29,584.9557495117188,588.0785779673218,581.0101304856973,587.9397721452495,69973300
2025-05-30,584.301513671875,586.0264816938155,578.2045855174352,583.8454633007033,90601200
2025-06-02,587.5928955078125,587.6721612666921,580.0089171212081,582.6856189346104,61630500
2025-06-03,590.943603515625,591.9250465362925,586.740159298439,587.2259796444896,63606200
2025-06-04,590.7849731445312,592.7875526407612,590.3487695069823,591.8061095833268,57314200
2025-06-05,587.9298095703125,593.8284515327539,585.9470768439928,592.4702844558809,92278700
2025-06-06,593.96728515625,595.6426968087642,591.7069406984755,593.4913881340742,66588700
2025-06-09,594.5026245117188,596.0590770966814,593.322896017802,594.5422573867003,53016400
2025-06-10,597.873291015625,598.2598779419187,593.9177485918233,595.0379370041686,66247000
2025-06-11,596.1680908203125,599.8361586452579,594.0961689044454,598.9736747077318,73658200
2025-06-12,598.5374755859375,598.5374755859375,594.3440149953893,594.8297748594797,64129000
2025-06-13,591.8458251953125,596.6539287176514,590.3389286898089,593.332875007361,89506000
2025-06-16,597.4766845703125,599.2314224312138,595.0379014846701,595.2164006808653,79984100
2025-06-17,592.3712158203125,596.5547531382241,591.6078443016146,595.0280706090336,82209400
2025-06-18,592.2819213867188,596.0292547686196,591.3202645518776,593.2732877481382,76605000
2025-06-20,590.8909912109375,596.0414436168163,589.4790454395113,594.9675856083323,94051400
2025-06-23,596.7274780273438,597.1152078061239,588.5145735944315,591.6465733053511,87426000
2025-06-24,603.3196411132812,604.3834856367664,599.9688039561656,600.8836010096178,67735300
2025-06-25,603.65771484375,605.1392079707367,602.086708265907,604.4431877891288,62114800
2025-06-26,608.380615234375,608.8181084243395,604.9005750782753,605.517034479532,78548400
2025-06-27,611.4032592773438,612.8748603878714,607.3465704310272,609.3848675360332,86258400
2025-06-30,614.3264770507812,615.6886593072754,611.5325044540273,613.8591865146053,92502500
2025-07-01,614.127685546875,615.3009489521946,612.0098276707645,612.8450033281383,70030100
2025-07-02,616.9117431640625,616.9514932068568,613.0936150077308,613.7200271324969,66510400
